ID,语句
03-001,《摩诃衍论》云：诸法亦非有相，亦非无相。——《不真空论》
03-002,若你想取得进步，就要甘愿在众人眼中显得愚拙与迟钝。——《手册·13》〔译〕
03-003,步入同一河流的人，遭遇的是不同的、一再更新的水。——〔译〕《残篇》DK B12（普鲁塔克《道德论丛》转引）
03-004,选择是出于思虑的欲求，是人为自己选定的行为之始。——〔译〕《尼各马可伦理学》1112a—1113a
03-005,理性之光告诉我们：无中不能生有。——《哲学原理》第一部分·§16〔意译〕
03-006,冥想非逃离，而是更深地落入自己。——《玛斯纳维·卷四》〔译〕
03-007,谓之恶者本非恶，但或过或不及便如此。——《遗书》卷二上
03-008,言语若不依理智，便如风声无实。——〔译〕《残篇》DK B（斯托拜乌斯转引）
03-009,人的意志是自由的，正因它能转向或背离善；若不能选择，便无所谓功过。——《论自由意志·3·3》〔译〕
03-010,人应当在沉默中倾听存在，而非用理性僭越它。——《关于人道主义的书信》〔意译〕
03-011,你评判一件事，先分清它是「可控」还是「不可控」；对不可控者，说「那非我所司」。——《手册·1》〔意译〕
03-012,放于利而行，多怨。——《论语·里仁》
03-013,学贵有恒，非贵广博。——《徒然草》〔译〕
03-014,不要满足于别人的故事，展开你自己的神话。——《玛斯纳维·卷一》〔译〕
03-015,真实，是对自己不再说谎。——《堕落》〔意译〕
03-016,成熟的理性，敢于在矛盾中保持自身。——《逻辑学》〔译〕
03-017,天体运行依理性之数，是可见者中最美、最精确者。——〔译〕《蒂迈欧》39c—40c
03-018,观五阴无我，观十八界空，是名内观成就。——《十二门论·观门》〔意译〕
03-019,道德，是主观自由在内心中的体现。——《法哲学原理·道德章》〔译〕
03-020,真理是无路之国，没有宗教、没有派别能通达它。——《重新认识你自己》〔译〕
03-021,"肉体的呼声是""无痛苦""，灵魂的呼声是""无纷扰""。——〔译〕《梵蒂冈格言集》VS 33"
03-022,死生，命也，其有夜旦之常，天也。——《庄子·大宗师》
03-023,历史中的革命，常常以新的奴役取代旧的。——《反抗者》〔意译〕
03-024,神在其自身明显可知，但于我们不明显；故其存在非「自明」于我们。——《神学大全·I·q.2·a.1》〔译〕
03-025,多数人的平庸，不应成为压垮个性的重量。——《论自由·第三章》〔译〕
03-026,人须在荒诞的世界中坚持行动。——《存在主义是一种人道主义》〔意译〕
03-027,你以隐秘的方式吸引我，使我在拒绝你之后仍被你寻回。——《忏悔录·8·1》〔译〕
03-028,圣，诚而已矣。——《通书·诚下》
03-029,故虚妄之语不黜，则华文不见息；华文放流，则实事不见用。——《论衡·对作》
03-030,伽利略以数学化的自然取代了真实被给予的生活世界。——《欧洲科学的危机与超越论的现象学》§9〔译〕
03-031,克己复礼为仁。——《论语集注》（引孔子）
03-032,一切自然宗教的论证，都不如习惯与类比有力。——《人类理解研究》第十一章〔意译〕
03-033,天之爱天下之百姓厚矣。——《墨子·天志中》
03-034,中国哲学之主要底传统，是求一种最高底境界。——《中国哲学简史·绪论》
03-035,问：「格物须物物格之，还只格一物而万理皆知？」曰：「怎生便会该贯？若只格一物便通众理，虽颜子亦不敢如此道。须是今日格一件，明日又格一件，积习既多，然后脱然自有贯通处。」——《遗书》卷十八
03-036,真正的自我同一，在于这面镜子连续地反映同一宇宙。——《单子论》〔意译〕
03-037,群体没有头脑，只有情绪。——《附录与补遗·人生的智慧》〔译〕
03-038,行善之乐，是德性的酬报之一；它印证所行之为当行。——《神学大全·I-II·q.4·a.1》〔译〕
03-039,性者万物之一源，非有我之得私也。——《正蒙·诚明》
03-040,同一性在于保持「同一生命」的连续。——《人类理解论》卷二·章廿七·节1〔意译〕
03-041,讲学之风，所以正人心、移风俗。——《明儒学案》 〔意译〕
03-042,不悟，即佛是众生；一念悟，即众生是佛。——《坛经》（敦煌本）
03-043,我之所以写作，是因为言语能让我理清自己混乱的思想。——《自传》〔意译〕
03-044,奴隶道德源于怨恨（ressentiment），贵族道德源于自发的肯定。——《论道德的谱系·第一论文》〔意译〕
03-045,人的善，是灵魂合于德性的实现活动。——〔译〕《尼各马可伦理学》1098a—b
03-046,我即梵（Aham Brahmāsmi）。——《蛙氏奥义书注》（引布列哈德奥义书，梵文原句）
03-047,灵魂之翼，因观照美、正义与智而生长；因沉溺于下界而萎落。——〔译〕《斐德罗》249b—c
03-048,因果链条若无限回溯，必终止于一个必然的存在。——《神义论》〔意译〕
03-049,佛法在世间，不离世间觉；离世觅菩提，恰如求兔角。——《坛经》（敦煌本）
03-050,"名谓""生成""与""毁灭""的，不过是凡人的约定；实则无物生灭。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）"
03-051,语言无法传达真实的体验。——《智慧的觉醒》〔译〕
03-052,故曰：作有助于化，化有补于正。——《论衡·书解》
03-053,批判，是不被那样统治的艺术。——《什么是批判》〔译〕
03-054,理性灵魂能够认识必然与永恒，因而具有自我意识。——《单子论》第61节〔意译〕
03-055,悲剧的艺术，是向痛苦说「是」的艺术。——《偶像的黄昏》〔意译〕
03-056,本真地存在，意味着成为你自己，而非依附于「人们」。——《存在与时间》〔意译〕
03-057,官无常贵，而民无终贱。——《墨子·尚贤上》
03-058,基督徒的数量，不等于基督教的真实。——《日记》（Papirer）〔译〕
03-059,我常以为在解释，其实只是在重复语法的套路。——《哲学研究》〔意译〕
03-060,性如茧、如卵。卵待覆而成雏，茧待缫而为丝，性待教而为善。——《春秋繁露·深察名号》
03-061,气之聚散于太虚，犹冰凝释于水，知太虚即气，则无无。——《正蒙·太和》
03-062,"律法因邦而异，但作为互利契约的""正义""却是普遍的。——〔译〕《主要学说》KD 37"
03-063,在心中设一位监察，睡前清点一日所言所行。——《致鲁基里乌斯书信集·第11封》〔译〕
03-064,道德区别不来自理性，而来自道德感。——《人性论》卷三·部一·章一〔意译〕
03-065,惩罚的对象，从肉体转向了灵魂。——《规训与惩罚》〔译〕
03-066,无名天地之始，有名万物之母。——《道德经·第一章》
03-067,意志的自律，是一切道德法则以及合乎这些法则的职责的惟一原则。——《道德形而上学奠基》〔译〕
03-068,诸佛所说，皆为破执；执若已破，法亦应舍。——《大智度论·卷十八》〔意译〕
03-069,身体的劳苦，是磨砺灵魂的磨刀石。——〔意译〕《名哲言行录》卷六（犬儒锻炼说）
03-070,个体只有属于伦理整体，才获得其真实的存在。——《法哲学原理》〔译〕
03-071,盈天地之间者，器而已矣。——《周易外传·卷五》
03-072,唯有通过艺术，主体才能片刻摆脱意志的奴役。——《作为意志和表象的世界·第三篇》〔译〕
03-073,至人之用心若镜，不将不迎，应而不藏，故能胜物而不伤。——《庄子·应帝王》
03-074,忘象者，乃得意者也；忘言者，乃得象者也。——《周易略例·明象》
03-075,所有单子依照同一普遍和谐而活动，构成一个唯一宇宙。——《单子论》第57节〔意译〕
03-076,心灵能改变身体的感触，使一切情感与神的知识关联。——《伦理学》第五部分·命题十四〔意译〕
03-077,道虽迩，不行不至；事虽小，不为不成。——《荀子·修身》
03-078,神之存在，可由五途证之：运动、因果、偶然、圆满、目的。——《神学大全·I·q.2·a.3》〔译〕
03-079,不要畏惧死亡，自然把它安排得和诞生一样合理。——《沉思录》卷四·44〔意译〕
03-080,诸法不自生，亦不从他生，不共不无因，是故知无生。——《中论·观因缘品》（四句破生）
03-081,微风在黎明有秘密相告，莫再睡去。——《玛斯纳维·卷一》〔译〕
03-082,单凭情感支配的人，把必然当作束缚；理解它的人，把它当作自由。——《伦理学》第四部分·命题四〔意译〕
03-083,总天地万物之理，便是太极。——《语类》卷九十四
03-084,超越对象的真理要求一种无限的、开放的确认过程。——《纯粹现象学通论》〔意译〕
03-085,良弓难张，然可以及高入深；良马难乘，然可以任重致远。——《墨子·亲士》
03-086,好战的、强健的、骄傲的贵族，不需要为自己的价值寻找外在的辩护。——《论道德的谱系·第一论文》〔意译〕
03-087,灵魂的功能有三：营养、感觉、思维。——〔译〕《论灵魂》413a—b
03-088,易姓改号，谓之亡国；仁义充塞而至于率兽食人，谓之亡天下。——《日知录·正始》
03-089,君子不以言举人，不以人废言。——《论语·卫灵公》
03-090,单子是单纯的实体，没有部分。——《单子论》第1节
03-091,不可以孔子之是非为是非，余尝以为此语最切。——《焚书·答耿中丞》
03-092,我的痛苦，是别人不理解我，而我也不能让自己被理解。——《日记》（Papirer）〔译〕
03-093,学者须先立志。——《语录》
