传统,人物,派别,①界线,①关系,②不动层,⑤目的,③先验,③秩序来源,④互动,④可改变,④干预
中国哲学,公孙龙,名家,二分,实体,逻辑·语言,知·理解,薄,设计,独在,无,自然
中国哲学,惠施,名家,二分,关系,逻辑·语言,知·理解,薄,涌现,独在,无,自然
中国哲学,王充,汉末批判思潮,二分,实体,经验·习惯,知·理解,薄,涌现,独在,无,自然
中国哲学,荀子,儒家（荀学）,二分,关系,自然律·逻各斯,成德·成圣,薄,设计,共在,制度,理·天
中国哲学,冯友兰,新理学（当代新儒家）,统一,关系,天·理,成德·成圣,厚,设计,共在,心,理·天
中国哲学,程颐,儒家·理学（洛学，世称伊川先生）,统一,关系,天·理,成德·成圣,厚,设计,伙伴,心,理·天
中国哲学,程颢,儒家·理学（洛学，世称明道先生）,未分,关系,天·理,成德·成圣,厚,涌现,伙伴,心,心
中国哲学,孔子,儒家（创始人）,未分,关系,天·理,成德·成圣,厚,兼有,伙伴,我,心
中国哲学,董仲舒,汉代儒学,统一,关系,天·理,治·秩序,厚,设计,共在,制度,理·天
中国哲学,朱熹,儒家·理学（闽学，宋代理学集大成者）,统一,关系,天·理,成德·成圣,厚,设计,伙伴,心,理·天
中国哲学,周敦颐,儒家·理学（濂学，宋明理学开山）,统一,关系,天·理,成德·成圣,厚,设计,共在,心,理·天
中国哲学,陆九渊,儒家·心学（象山学派，与朱子并立）,未分,关系,心·灵魂,成德·成圣,厚,兼有,伙伴,心,心
中国哲学,慧能,禅宗（南宗／六祖）,未分,关系,心·灵魂,解脱·涅槃,零,涌现,共在,心,心
中国哲学,王阳明,儒家·心学（阳明学，明代心学集大成者）,未分,关系,心·灵魂,成德·成圣,厚,兼有,伙伴,心,心
中国哲学,孟子,儒家（思孟学派）,未分,关系,心·灵魂,成德·成圣,厚,涌现,伙伴,心,心
中国哲学,牟宗三,当代新儒家,未分,关系,心·灵魂,成德·成圣,厚,设计,共在,心,心
中国哲学,僧肇,中国佛学（般若中观）,未分,关系,缘起·空,解脱·涅槃,零,涌现,独在,无,自然
中国哲学,嵇康,玄学（竹林一派）,未分,关系,道·自然,合道·逍遥,厚,涌现,独在,我,自然
中国哲学,王弼,玄学（贵无论）,未分,关系,道·自然,合道·逍遥,厚,涌现,独在,我,自然
中国哲学,郭象,玄学,未分,关系,道·自然,合道·逍遥,薄,涌现,独在,我,自然
中国哲学,庄子,道家（庄子学派）,未分,关系,道·自然,合道·逍遥,零,涌现,独在,我,自然
中国哲学,老子,道家（创始人）,未分,关系,道·自然,合道·逍遥,零,涌现,独在,我,自然
中国哲学,熊十力,新儒家（当代新儒家）,未分,关系,道·自然,合道·逍遥,厚,涌现,共在,心,心
