传统,人物,时代,派别,核心关切,文体,可靠度,A对自我,B对外界,合计,A占比
中国哲学,陆九渊,南宋,儒家·心学（象山学派，与朱子并立）,修养—救赎,语录体,弟子辑录,32,28,60,0.533
中国哲学,冯友兰,近代,新理学（当代新儒家）,本体—宇宙,论说体,亲著,28,28,56,0.5
中国哲学,嵇康,魏晋（竹林七贤）,玄学（竹林一派）,修养—救赎,论说体,亲著,28,28,56,0.5
中国哲学,慧能,唐,禅宗（南宗／六祖）,修养—救赎,语录体,弟子辑录,28,28,56,0.5
中国哲学,李贽,明（晚明）,儒家·晚明异端（泰州学派后劲，反理学）,修养—救赎,论说体,亲著,28,28,56,0.5
中国哲学,王弼,魏晋,玄学（贵无论）,本体—宇宙,注疏体,亲著,28,28,56,0.5
中国哲学,王阳明,明（中叶）,儒家·心学（阳明学，明代心学集大成者）,修养—救赎,语录体,弟子辑录,28,28,56,0.5
中国哲学,程颐,北宋,儒家·理学（洛学，世称伊川先生）,修养—救赎,语录体,弟子辑录,28,28,56,0.5
中国哲学,程颢,北宋,儒家·理学（洛学，世称明道先生）,修养—救赎,语录体,弟子辑录,28,28,56,0.5
中国哲学,郭象,魏晋（西晋）,玄学,本体—宇宙,注疏体,亲著,28,28,56,0.5
中国哲学,庄子,战国,道家（庄子学派）,修养—救赎,论说体,亲著,29,29,58,0.5
中国哲学,孔子,春秋,儒家（创始人）,修养—救赎,语录体,弟子辑录,30,30,60,0.5
中国哲学,孙子,春秋末,兵家,制度—政治,论说体,亲著,30,30,60,0.5
中国哲学,王充,东汉,汉末批判思潮,认识—方法,论说体,亲著,30,30,60,0.5
中国哲学,董仲舒,汉,汉代儒学,制度—政治,论说体,亲著,30,30,60,0.5
中国哲学,韩非,战国,法家（集大成者）,制度—政治,论说体,亲著,30,30,60,0.5
中国哲学,荀子,战国,儒家（荀学）,制度—政治,论说体,亲著,31,31,62,0.5
中国哲学,朱熹,南宋,儒家·理学（闽学，宋代理学集大成者）,本体—宇宙,语录体,弟子辑录,38,38,76,0.5
中国哲学,孟子,战国,儒家（思孟学派）,修养—救赎,论说体,亲著,30,31,61,0.492
中国哲学,周敦颐,北宋,儒家·理学（濂学，宋明理学开山）,本体—宇宙,论说体,亲著,28,30,58,0.483
中国哲学,张载,北宋,儒家·理学（关学）,本体—宇宙,论说体,亲著,32,35,67,0.478
